Id,Id2,Tract,population,employed,maleEmployed,femaleEmployed,income,maleIncome,femaleIncome
1400000US06075042602,6075042602,"Census Tract 426.02, San Francisco County, California",57500,1860,46.3,53.7,57500,66823,51745
1400000US06075042700,6075042700,"Census Tract 427, San Francisco County, California",34467,2900,47.5,52.5,34467,41131,29917
1400000US06075042800,6075042800,"Census Tract 428, San Francisco County, California",91375,993,62.4,37.6,91375,120417,58583
1400000US06075045100,6075045100,"Census Tract 451, San Francisco County, California",45930,3157,49,51,45930,52794,41750
1400000US06075045200,6075045200,"Census Tract 452, San Francisco County, California",58307,3687,52.7,47.3,58307,69099,42026
1400000US06075047600,6075047600,"Census Tract 476, San Francisco County, California",46023,3314,53.3,46.7,46023,65155,39023
1400000US06075047701,6075047701,"Census Tract 477.01, San Francisco County, California",41913,2333,48.4,51.6,41913,39016,47525
1400000US06075047702,6075047702,"Census Tract 477.02, San Francisco County, California",40924,2373,54.9,45.1,40924,45708,40016
1400000US06075047801,6075047801,"Census Tract 478.01, San Francisco County, California",42391,2252,47.8,52.2,42391,56331,39243
1400000US06075047802,6075047802,"Census Tract 478.02, San Francisco County, California",48107,2118,50.1,49.9,48107,48710,47628
1400000US06075047901,6075047901,"Census Tract 479.01, San Francisco County, California",43694,3519,49.9,50.1,43694,48204,40947
1400000US06075047902,6075047902,"Census Tract 479.02, San Francisco County, California",48423,1910,54.4,45.6,48423,50859,47019
1400000US06075060100,6075060100,"Census Tract 601, San Francisco County, California",77602,2047,52.5,47.5,77602,86813,63807
1400000US06075060400,6075060400,"Census Tract 604, San Francisco County, California",41705,849,56.5,43.5,41705,61538,37596
1400000US06075060502,6075060502,"Census Tract 605.02, San Francisco County, California",24335,1133,52.3,47.7,24335,24432,24306
1400000US06075060700,6075060700,"Census Tract 607, San Francisco County, California",77016,6585,56.4,43.6,77016,82965,68480
1400000US06075061000,6075061000,"Census Tract 610, San Francisco County, California",50096,2473,51.5,48.5,50096,61547,40843
1400000US06075061100,6075061100,"Census Tract 611, San Francisco County, California",13899,1731,52.2,47.8,13899,14832,12753
1400000US06075061200,6075061200,"Census Tract 612, San Francisco County, California",25357,1822,62.4,37.6,25357,29413,21776
1400000US06075061400,6075061400,"Census Tract 614, San Francisco County, California",79325,3648,59.5,40.5,79325,93375,55833
1400000US06075061500,6075061500,"Census Tract 615, San Francisco County, California",93304,8088,54.2,45.8,93304,101586,81657
1400000US06075980200,6075980200,"Census Tract 9802, San Francisco County, California",78500,64,31.3,68.8,78500,71250,79000
1400000US06075980300,6075980300,"Census Tract 9803, San Francisco County, California",104028,45,60,40,104028,94327,93000
1400000US06075980401,6075980401,"Census Tract 9804.01, San Francisco County, California",-,0,-,-,-,-,-
1400000US06075980501,6075980501,"Census Tract 9805.01, San Francisco County, California",19583,289,49.1,50.9,19583,37000,16691
1400000US06075980600,6075980600,"Census Tract 9806, San Francisco County, California",25179,211,69.2,30.8,25179,28438,17125
1400000US06075980900,6075980900,"Census Tract 9809, San Francisco County, California",78452,146,57.5,42.5,78452,36667,79762
1400000US06075990100,6075990100,"Census Tract 9901, San Francisco County, California",-,0,-,-,-,-,-
